RF,MaximinRF,MaggingRF,MaggingRF2
4.1681450253811265,4.824006718070186,6.881777535889278,3.8168094810544164
4.465989370189478,4.772306824262547,6.646800003075384,3.6683790153840286
4.282953079204407,4.88355161570216,6.342187078216616,3.695717668703493
4.401013925711202,4.691816405717582,6.233744478365151,3.4013806057219873
4.27823660336303,4.957563662484131,6.309032111364671,3.4756358820183393
4.414757983050838,4.701500916801976,6.5975337578504165,3.549426306040879
3.947640563330714,4.55823136260859,6.164099529427888,3.4585959042154357
3.652847941548474,4.4413751025521675,5.593704727717479,3.3261138867087636
4.1254137610913215,4.311561450524546,5.929431804686319,3.397483358552301
4.753548543488542,4.93497182223817,6.727057835354251,3.880716075229178
4.215204813533688,4.788607720924076,6.5356816689110655,3.6234361608982777
3.7447055738864083,4.45176410713072,5.6401438183602695,3.3797558232580496
4.151162677335369,4.651825697694634,6.466654090334582,3.585104196473732
4.537674801916938,5.151367538468126,6.753891780733634,3.810424957345759
4.34094440014301,4.451736123899569,5.578369366462334,3.427959634400208
3.8827238566032287,4.17421241438242,5.912403936483112,3.2754392516913815
4.2530589325337465,4.9961377688180555,6.319248021191975,3.581399272697755
4.415638651085853,4.580997792500069,5.532232571404279,3.543858691540239
4.228223139332799,4.988802256651801,6.301252691022557,3.702869937249522
3.9175172144917596,4.319740565845735,6.005825200445131,3.3867797424261945
4.011402887917184,4.427205340261267,5.7105941958828685,3.3143567703007633
3.9118738305547267,4.067927006202853,5.306254373335749,3.138010838679597
3.9906712076776594,4.692662286248686,6.884226211138316,3.6308499683395556
3.7739814770053206,4.182579113330815,6.683926154439985,3.094977339263865
4.0673953682126385,4.330864087304904,5.8644130463056685,3.437667387904702
4.313515105281884,4.628883767022112,6.0409489252690785,3.5269846495428894
4.039477724529073,4.336484772484474,5.680655139795495,3.4462742178013617
4.083166946239608,4.735837527826397,6.394441564749098,3.4258346830977118
3.922590541212909,4.422303128898044,6.268575665538382,3.6644669601518296
4.274350353411523,4.5042673387427,5.618746008153399,3.5229303946600643
4.218870880678297,4.415412476667746,6.08540475621688,3.612977918645175
4.414369360025168,4.601844436025739,6.235761452251345,3.485098185716225
4.496288980221797,5.077354180873628,7.362100961199388,3.859595052364746
3.7370567585547687,4.021335629633192,5.646856707860017,3.16454816027244
3.931844522110976,4.676242476644203,5.310365961476812,3.4188447588295423
4.30140284342808,4.678850129345455,6.450364090100956,3.4616328586117207
3.9421660159034575,4.138858846025427,5.222359153671134,3.2973247051507815
4.33230347607208,4.563303800123434,6.515849800410204,3.3364741788766485
3.7383741363579333,4.084946112704669,5.325192625471546,3.092886052049539
4.322270304206297,4.647724523657237,6.2991220817121345,3.604879187912149
4.381358968392368,4.643007029802748,6.109300876586266,3.6567920247719954
4.212979366833201,4.674996683156235,6.555395751938447,3.456624121333426
4.1885827180894815,4.692345069800837,6.154172549986576,3.4321992406494766
4.136025063651151,4.76187935472052,6.236207012875726,3.6602787012353066
4.339166305608776,4.587040825236312,6.6239672427759455,3.55354924791241
4.497754251667298,4.80619465641038,6.202758807787296,3.6820432175968634
4.216424200682523,4.2821836940823825,6.07685439745379,3.4423124727332604
3.7954881894680685,4.421259143294659,5.731230132057492,3.2752328574529743
4.348169283641517,4.789753748882613,6.11186264586847,3.599777903286928
4.153135115137316,4.432005220677056,5.698522932339648,3.469061834414245
4.4675074008929,4.742410239228789,7.0274011042513145,3.525648055543481
4.08080187497782,4.600723216676931,6.107085855504628,3.442589288355946
4.035998528298802,4.1912003900837576,5.528527463380402,3.242999226335426
4.299558253484742,4.3286799438770025,6.856762004058376,3.45153925661646
4.083765987595448,4.669872095543434,6.592594905942277,3.4656391800182234
4.4492123680768785,4.763961850266082,6.0863384207859745,3.746680197699682
4.3257758203051395,4.406206491987004,5.490484525081644,3.3094744380476455
4.05211128226206,4.631048900381981,6.210862716649171,3.3761252157950596
4.192706255636618,4.328606300747504,5.367711088151458,3.3310738814587424
4.023350075359821,3.997423683942581,5.999174338565145,3.32855157064337
3.9305481743458657,4.2929928224632645,5.95342680778935,3.326705845088141
4.55527868056812,4.866185121899788,5.627852043541084,3.9105514771194008
4.286327077674112,4.62729313556772,6.289381815719072,3.434496470292387
4.244670902319063,4.176426612114436,5.96050748632723,3.2192578838992265
4.208116257029687,4.938918275347329,6.353146287478809,3.6353807739626647
4.7059400826569675,4.9227457938082875,6.656048940567472,3.886677210324144
4.396060664955796,4.879959548177818,6.17972957935,3.940047660363242
4.516955233254686,4.613939785514788,6.660843693316034,3.6482289369290952
4.204401671524936,4.435926971153165,6.616592872191914,3.521036619133852
3.6291528457601654,4.083092623963826,5.660922553427161,3.2614346481930676
3.5774943474009766,4.062482911499157,4.895828376390357,3.111552155247377
3.834321690476755,4.144641902424491,5.415654726991633,3.273337647680236
3.83628334731991,4.450484742613971,5.620932403177024,3.22740687263346
4.036398647426182,4.169691361689073,5.52891234276438,3.2920291394361585
3.416617523577209,3.8546202210720977,5.679452642812832,3.057298417505054
4.164023112948212,4.565839082579211,5.901151308117244,3.463519607823398
4.492168421196808,4.640887553939018,6.650128997140597,3.543442624496168
4.08480685218896,4.303180613624257,5.1509832597168606,3.4841055306639475
4.247556898707956,4.25512928481809,5.5547980662391,3.322623065565788
4.569245374941962,4.648234147183395,6.276404479686269,3.693680844062785
4.37657083386208,4.677224288149472,6.17358119100411,3.6685958183318355
4.445716809641049,5.086232996372442,6.733274695678178,3.781259330170244
4.488822389298636,4.7096612854351685,7.033525556000622,3.6125422021942395
3.6278697457521507,4.1479906753250635,4.93193378849436,3.2158821993473077
4.454313474072441,4.5187475282314065,6.4179485014530995,3.5768367814741877
4.205098912388588,4.386067906804001,5.674457173357953,3.519237898805044
4.272677998985838,4.472070899287077,6.34137410159148,3.534822275411364
4.273842132206482,4.625305080728488,6.3368629970379375,3.7866581976273346
4.419076144431456,4.809601235738488,5.811428533905999,3.702348533932641
4.346310660331707,4.748148352132589,6.084745543941819,3.7067511100501704
3.851432688860318,4.181292909021163,5.904602028670581,3.265936138173425
4.165780304442992,4.616959814594776,6.534561768400952,3.5346842533090235
3.8939717061253742,4.1188790693985755,5.756415979003277,3.1943069811867653
4.2088429322408025,4.517559910276296,6.581527028316681,3.548894877020465
4.024922161333441,4.399885602554515,6.438800473960277,3.4421777049426288
4.230819257091847,4.429253893534554,5.593484100792853,3.30426648718847
3.8780882530258567,4.103269120508071,5.305284015004561,3.1649749827213225
4.1751771798171555,4.354821195823037,5.902618594630289,3.4392367665970034
4.160127547636115,4.744783265653749,6.146090870325426,3.485097215885532
4.172528885033292,4.658416857775063,6.626009103664527,3.4544850887442635
