RF,MaximinRF,MaggingRF,MaggingRF2
1.576306884255645,1.3142955644536194,1.3281360522492036,1.168474659861207
1.2530917237347017,1.1486182415140782,1.3273673971642344,1.126316321884552
1.4261821657322489,1.2198398773040033,1.1299209687669236,1.0941520021158286
1.4479707574092913,1.227385871746723,1.2350273198832225,1.174787461537538
1.6000103976765312,1.42452530299465,1.3326597680946615,1.2822604199601004
1.470920275427035,1.2968332014147321,1.1978774073101222,1.1521554043602684
1.4246948725280044,1.3279717516643876,1.3062889072984452,1.2235750442817759
1.3362578372828935,1.210808517281868,1.1259552226279654,1.1389499347439291
1.0553492076052982,0.9806947864260316,1.0831632767033839,0.9231570254545545
1.481907757449833,1.456788670112076,1.146119639762259,1.1787734434553843
1.5082088607630422,1.2537742146979185,1.359776495104774,1.2080688207712702
1.578267629672186,1.2374264629169418,1.2582087431484588,1.1060147327710466
1.5154787241511407,1.4167499388957643,1.2687635980053524,1.1986365994267958
1.3767625118170954,1.333995394232511,1.1361862458013345,1.1649567521003
1.3755849210442912,1.1735741663602508,1.1156919493453048,1.0640671295026247
1.4830087472112754,1.4815462330255837,1.2296045381231924,1.2844651114743886
1.4938867245726464,1.320699269637978,1.2585474901825668,1.1777100293795533
1.4970158510316462,1.3440422853629972,1.1920389227693509,1.1716946404212991
1.4819810696440525,1.457049889842261,1.333548032456074,1.2897861204295509
1.412700809458791,1.4730266078691632,1.1461826011657426,1.2005177236858353
1.4631878083809924,1.2586424054360539,1.2177396788739083,1.1080102946454806
1.5089769094856362,1.19566251890556,1.2244172066541805,1.1964272474556203
1.32778757887859,1.1968842486415319,1.185577459863844,1.0515052028536689
1.3254641819343664,1.212821591646636,1.3072244205948707,1.1048370575752926
1.277011104580602,1.2086515733049736,1.127374823946728,1.051033395709137
1.3389292895451863,1.2400131515749087,1.1574146371271485,1.0658586875466824
1.3848746243482126,1.4284870560173955,1.2923870336459686,1.1337987629984234
1.302603067725113,1.214999575019589,1.1690248410376864,1.1360344605437436
1.5140462979301528,1.2707335750208648,1.4244776491045217,1.1853162548739604
1.5753012559957738,1.4199231364890421,1.2196369590563036,1.2406488146365355
1.3936315068540006,1.2597471176421196,1.34669823609453,1.2409519739811787
1.605317756871037,1.3410728157408363,1.3300120603391596,1.244477084922877
1.5191121614601197,1.4450906038542173,1.3665639664143852,1.266610038830479
1.3241930591954392,1.2387796205808763,1.2186483787320168,1.1167664396219235
1.5382719063935577,1.4533772245200451,1.465647539579155,1.2886325693642804
1.7448574399939212,1.4559699141990003,1.2731272908893,1.3495612705794264
1.278258659233455,1.128048700264038,1.042247484040891,0.9982363717264962
1.489917784576217,1.4917814316268583,1.5563912029615297,1.288481095822904
1.298522377305093,1.1417632047589357,1.0186495110839842,1.0504338086338814
1.5338952483271222,1.2524118844230174,1.1946759532672868,1.2286630904515183
1.448199310509366,1.3960348036028107,1.2551092745997827,1.1958517237366377
1.4163121708659374,1.1170446854291232,0.9631002426851228,1.0336571732138153
1.3819688892572743,1.1786322161359983,1.1507977678080719,1.0879987446793085
1.4236778410646338,1.360915862616342,1.2767632345334574,1.1688929319520942
1.5182078184840162,1.384570493267704,1.4105094178671809,1.2403192681538808
1.456247497045114,1.4553476206926825,1.3813365802713493,1.270913779529754
1.5597644676496156,1.2784522791605237,1.344181043650611,1.2917165399003547
1.5110820055362104,1.321179670590569,1.2784978229480484,1.1972012176325457
1.55641343687779,1.3415387667702594,1.2390148615051526,1.245993608323962
1.3405276905087016,1.2371177667551012,1.138158702264956,1.0668512274104915
1.3759023289437162,1.3019532241346239,1.1469689914005805,1.138034040645763
1.4626583469879701,1.3101077632060305,1.1761040364419757,1.1627497706180145
1.5625405197017894,1.3989925223271589,1.345551746279799,1.2901321528693175
1.463975115576061,1.318718251446184,1.1826525952668099,1.1678903333674207
1.4157873404813883,1.2098304101767898,1.160605791596813,1.1271956349401915
1.4505102250374018,1.4333895503969616,1.3653114770974069,1.2806079206211662
1.5780052890926395,1.3263022227445753,1.2536813346461873,1.1796664126797258
1.5295854864351206,1.4310638883261937,1.1910975816353293,1.210092226832227
1.4148187944383857,1.2272815412915279,1.2023539881765601,1.1677648838565102
1.4560601079508364,1.25911941427363,1.2737294771094463,1.2163900642084973
1.28579771981249,1.1086072387260546,1.1250422867055205,1.0560369542399985
1.5592155876483553,1.1900470591886745,1.4778128701180404,1.1031849399225693
